scenic-api     |  * Restarting with stat                                                                                                                                                         
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:50] "GET /api/task/e898b5f4-cbe4-4ce5-8773-59e881a8aa47 HTTP/1.1" 200 -                                                                       
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:52] "GET /api/task/e898b5f4-cbe4-4ce5-8773-59e881a8aa47 HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:26:53,356: WARNING/ForkPoolWorker-1] /usr/local/lib/python3.11/site-packages/pyrosm/pyrosm.py:109: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   nodes, ways, relations, node_coordinates = parse_osm_data(                                                                                                                    
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:26:53,365: WARNING/ForkPoolWorker-1] /usr/local/lib/python3.11/site-packages/pyrosm/pyrosm.py:109: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.                                                                                                                                                    
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   nodes, ways, relations, node_coordinates = parse_osm_data(
scenic-worker  |                                                                                                                                                                                 
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:54] "GET /api/task/e898b5f4-cbe4-4ce5-8773-59e881a8aa47 HTTP/1.1" 200 -                                                                       
scenic-worker  | [2026-01-30 18:26:54,349: WARNING/ForkPoolWorker-1] /usr/local/lib/python3.11/site-packages/pyrosm/networks.py:37: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   edges, nodes = prepare_geodataframe(                                                                                                                                          
scenic-worker  |                                                                                                                                                                                 
scenic-api     | [Geocode] 'bath abbey' -> (51.3814544, -2.3588659)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:54] "POST /api/geocode HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:26:54,674: WARNING/ForkPoolWorker-1] [OSMDataLoader] Converting to NetworkX graph... (Nodes: 66833, Edges: 72468)                                                
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:56] "GET /api/task/e898b5f4-cbe4-4ce5-8773-59e881a8aa47 HTTP/1.1" 200 -
scenic-api     | [Geocode] 'bath spa station' -> (51.3776473, -2.3569862)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:57] "POST /api/geocode HTTP/1.1" 200 -
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:58] "GET /api/task/e898b5f4-cbe4-4ce5-8773-59e881a8aa47 HTTP/1.1" 200 -                                                                       
scenic-worker  | [2026-01-30 18:26:58,392: WARNING/ForkPoolWorker-1] [OSMDataLoader] Graph loaded: 65222 nodes, 142046 edges.
scenic-worker  | [2026-01-30 18:26:58,393: WARNING/ForkPoolWorker-1] [OSMDataLoader] Extracting additional features (POIs, Greenery, Water)...
scenic-worker  | [2026-01-30 18:26:58,393: WARNING/ForkPoolWorker-1] [OSMDataLoader] Extracting additional features (Single Pass Optimisation)...                                                
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:58] "GET / HTTP/1.1" 200 -                                                                                                                    
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:58] "GET /static/js/map.js HTTP/1.1" 304 -
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:58] "GET /static/js/main.js HTTP/1.1" 304 -
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:26:58] "GET /static/css/style.css HTTP/1.1" 304 -                                                                                                
scenic-worker  | [2026-01-30 18:26:58,814: WARNING/ForkPoolWorker-1] /usr/local/lib/python3.11/site-packages/pyrosm/user_defined.py:58: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   gdf = prepare_geodataframe(                                                                                                                                                   
scenic-worker  | 
scenic-worker  | [2026-01-30 18:26:58,982: WARNING/ForkPoolWorker-1] /usr/local/lib/python3.11/site-packages/pyrosm/user_defined.py:58: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   gdf = prepare_geodataframe(
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:26:59,051: WARNING/ForkPoolWorker-1]   > Total extracted features: 8738                                                                                          
scenic-worker  | [2026-01-30 18:26:59,114: WARNING/ForkPoolWorker-1]   [Timer] Graph Loading: 10.86s
scenic-worker  | [2026-01-30 18:26:59,114: WARNING/ForkPoolWorker-1] [GraphBuilder] Processing quietness attributes...
scenic-worker  | [2026-01-30 18:26:59,266: WARNING/ForkPoolWorker-1] [QuietnessProcessor] Processed 142046 edges with noise_factor attribute.                                                    
scenic-worker  | [2026-01-30 18:26:59,266: WARNING/ForkPoolWorker-1]   [Timer] Quietness Processing: 0.15s
scenic-worker  | [2026-01-30 18:26:59,266: WARNING/ForkPoolWorker-1] [GraphBuilder] Processing scenic attributes via orchestrator...                                                             
scenic-worker  | [2026-01-30 18:26:59,266: WARNING/ForkPoolWorker-1] [ScenicOrchestrator] Modes: GREENNESS=EDGE_SAMPLING, WATER=OFF, SOCIAL=OFF                                                  
scenic-worker  | [2026-01-30 18:26:59,266: WARNING/ForkPoolWorker-1] [ScenicOrchestrator] Processing greenness (EDGE_SAMPLING mode)...                                                           
scenic-worker  | [2026-01-30 18:26:59,267: WARNING/ForkPoolWorker-1] [OSMDataLoader] Extracting green areas for visibility analysis...                                                           
scenic-api     | [Geocode] 'bath spa station' -> (51.3776473, -2.3569862)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:00] "POST /api/geocode HTTP/1.1" 200 -
scenic-api     | [Geocode] 'bath abbey' -> (51.3814544, -2.3588659)                                                                                                                              
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:03] "POST /api/geocode HTTP/1.1" 200 -
scenic-api     | [API] Route request: (51.3776473, -2.3569862) -> (51.3814544, -2.3588659)                                                                                                       
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Identified best extract: Somerset (somerset)
scenic-api     | [OSMDataLoader] Using existing valid PBF: /app/app/data/somerset.osm.pbf
scenic-worker  | [2026-01-30 18:27:04,747: INFO/MainProcess] Task tasks.build_graph[1bca41ce-b63e-427e-a13a-77b4c9db730b] received                                                               
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:04] "POST /api/route HTTP/1.1" 202 -
scenic-worker  | [2026-01-30 18:27:04,751: INFO/ForkPoolWorker-3] [Task 1bca41ce-b63e-427e-a13a-77b4c9db730b] Starting graph build for region: somerset                                          
scenic-worker  | [2026-01-30 18:27:04,751: INFO/ForkPoolWorker-3] [Task 1bca41ce-b63e-427e-a13a-77b4c9db730b] Modes - Greenness: EDGE_SAMPLING, Elevation: LOCAL
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:04] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -                                                                       
scenic-worker  | [2026-01-30 18:27:04,752: WARNING/ForkPoolWorker-3] [GraphBuilder] Building graph for region: somerset                                                                          
scenic-worker  | [2026-01-30 18:27:04,752: WARNING/ForkPoolWorker-3] [GraphBuilder] Modes - Greenness: EDGE_SAMPLING, Elevation: LOCAL                                                           
scenic-worker  | [2026-01-30 18:27:04,752: WARNING/ForkPoolWorker-3] [GraphBuilder] Clipping enabled with 5km buffer                                                                             
scenic-worker  | [2026-01-30 18:27:04,753: WARNING/ForkPoolWorker-3] [OSMDataLoader] File path not set. Calling ensure_data_for_bbox...
scenic-worker  | [2026-01-30 18:27:04,939: WARNING/ForkPoolWorker-3] [OSMDataLoader] Identified best extract: Somerset (somerset)                                                                
scenic-worker  | [2026-01-30 18:27:04,946: WARNING/ForkPoolWorker-3] [OSMDataLoader] Using existing valid PBF: /app/app/data/somerset.osm.pbf
scenic-worker  | [2026-01-30 18:27:04,947: WARNING/ForkPoolWorker-3] [OSMDataLoader] Parsing PBF data: /app/app/data/somerset.osm.pbf (This uses pyrosm for speed)                               
scenic-worker  | [2026-01-30 18:27:04,948: WARNING/ForkPoolWorker-3] [OSMDataLoader] Clipping to bbox: (51.31260225495495, -2.423910945045045, 51.44649944504505, -2.291941154954955)            
scenic-worker  | [2026-01-30 18:27:04,950: WARNING/ForkPoolWorker-3] [OSMDataLoader] Fetching 'walking' network...                                                                               
scenic-worker  | [2026-01-30 18:27:05,026: WARNING/ForkPoolWorker-1] /usr/local/lib/python3.11/site-packages/pyrosm/pyrosm.py:109: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  | 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   nodes, ways, relations, node_coordinates = parse_osm_data(                                                                                                                    
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:27:05,071: WARNING/ForkPoolWorker-1] /usr/local/lib/python3.11/site-packages/pyrosm/pyrosm.py:109: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment
scenic-worker  |   nodes, ways, relations, node_coordinates = parse_osm_data(                                                                                                                    
scenic-worker  |                                                                                                                                                                                 
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:06] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -                                                                       
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:08] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:11] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:12,725: WARNING/ForkPoolWorker-1] /usr/local/lib/python3.11/site-packages/pyrosm/user_defined.py:58: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  | 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   gdf = prepare_geodataframe(                                                                                                                                                   
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:27:13,003: WARNING/ForkPoolWorker-1] /usr/local/lib/python3.11/site-packages/pyrosm/user_defined.py:58: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  | 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   gdf = prepare_geodataframe(                                                                                                                                                   
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:27:13,137: WARNING/ForkPoolWorker-1]   > Extracted 28734 green area polygons.
scenic-worker  | [2026-01-30 18:27:13,602: WARNING/ForkPoolWorker-1] [Edge Sampling] Processing 142046 edges (buffer: 50.0m, interval: 20.0m)...
scenic-worker  | [2026-01-30 18:27:13,649: WARNING/ForkPoolWorker-3] /usr/local/lib/python3.11/site-packages/pyrosm/pyrosm.py:109: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   nodes, ways, relations, node_coordinates = parse_osm_data(                                                                                                                    
scenic-worker  | 
scenic-worker  | [2026-01-30 18:27:13,658: WARNING/ForkPoolWorker-3] /usr/local/lib/python3.11/site-packages/pyrosm/pyrosm.py:109: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.                                                                                                                                                    
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  | 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   nodes, ways, relations, node_coordinates = parse_osm_data(                                                                                                                    
scenic-worker  |                                                                                                                                                                                 
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:14] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -                                                                       
scenic-worker  | [2026-01-30 18:27:14,499: WARNING/ForkPoolWorker-3] /usr/local/lib/python3.11/site-packages/pyrosm/networks.py:37: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   edges, nodes = prepare_geodataframe(
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:27:14,756: WARNING/ForkPoolWorker-3] [OSMDataLoader] Converting to NetworkX graph... (Nodes: 62495, Edges: 66994)                                                
scenic-worker  | [2026-01-30 18:27:17,199: WARNING/ForkPoolWorker-3] [OSMDataLoader] Graph loaded: 62001 nodes, 133098 edges.
scenic-worker  | [2026-01-30 18:27:17,199: WARNING/ForkPoolWorker-3] [OSMDataLoader] Extracting additional features (POIs, Greenery, Water)...
scenic-worker  | [2026-01-30 18:27:17,199: WARNING/ForkPoolWorker-3] [OSMDataLoader] Extracting additional features (Single Pass Optimisation)...                                                
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:17] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -                                                                       
scenic-worker  | [2026-01-30 18:27:17,418: WARNING/ForkPoolWorker-3] /usr/local/lib/python3.11/site-packages/pyrosm/user_defined.py:58: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   gdf = prepare_geodataframe(
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:27:17,471: WARNING/ForkPoolWorker-3] /usr/local/lib/python3.11/site-packages/pyrosm/user_defined.py:58: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   gdf = prepare_geodataframe(                                                                                                                                                   
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:27:17,518: WARNING/ForkPoolWorker-3]   > Total extracted features: 5070                                                                                          
scenic-worker  | [2026-01-30 18:27:17,571: WARNING/ForkPoolWorker-3]   [Timer] Graph Loading: 12.82s
scenic-worker  | [2026-01-30 18:27:17,571: WARNING/ForkPoolWorker-3] [GraphBuilder] Processing quietness attributes...
scenic-worker  | [2026-01-30 18:27:17,711: WARNING/ForkPoolWorker-3] [QuietnessProcessor] Processed 133098 edges with noise_factor attribute.                                                    
scenic-worker  | [2026-01-30 18:27:17,711: WARNING/ForkPoolWorker-3]   [Timer] Quietness Processing: 0.14s
scenic-worker  | [2026-01-30 18:27:17,711: WARNING/ForkPoolWorker-3] [GraphBuilder] Processing scenic attributes via orchestrator...                                                             
scenic-worker  | [2026-01-30 18:27:17,711: WARNING/ForkPoolWorker-3] [ScenicOrchestrator] Modes: GREENNESS=EDGE_SAMPLING, WATER=OFF, SOCIAL=OFF                                                  
scenic-worker  | [2026-01-30 18:27:17,711: WARNING/ForkPoolWorker-3] [ScenicOrchestrator] Processing greenness (EDGE_SAMPLING mode)...                                                           
scenic-worker  | [2026-01-30 18:27:17,712: WARNING/ForkPoolWorker-3] [OSMDataLoader] Extracting green areas for visibility analysis...                                                           
scenic-worker  | [2026-01-30 18:27:17,849: WARNING/ForkPoolWorker-1]   > Progress: 10% (14204/142046)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:20] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:20,747: WARNING/ForkPoolWorker-1]   > Progress: 20% (28408/142046)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:23] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:25,895: WARNING/ForkPoolWorker-1]   > Progress: 30% (42612/142046)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:26] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
scenic-worker  | [2026-01-30 18:27:29,059: WARNING/ForkPoolWorker-3] /usr/local/lib/python3.11/site-packages/pyrosm/pyrosm.py:109: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   nodes, ways, relations, node_coordinates = parse_osm_data(
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | [2026-01-30 18:27:29,152: WARNING/ForkPoolWorker-3] /usr/local/lib/python3.11/site-packages/pyrosm/pyrosm.py:109: ChainedAssignmentError: A value is being set on a copy of a DataFrame or Series through chained assignment.
scenic-worker  | Such chained assignment never works to update the original DataFrame or Series, because the intermediate object on which we are setting values always behaves as a copy (due to Copy-on-Write).                                                                                                                                                                                  
scenic-worker  | 
scenic-worker  | Try using '.loc[row_indexer, col_indexer] = value' instead, to perform the assignment in a single step.                                                                         
scenic-worker  |                                                                                                                                                                                 
scenic-worker  | See the documentation for a more detailed explanation: https://pandas.pydata.org/pandas-docs/stable/user_guide/copy_on_write.html#chained-assignment                            
scenic-worker  |   nodes, ways, relations, node_coordinates = parse_osm_data(                                                                                                                    
scenic-worker  | 
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:29] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -                                                                       
scenic-worker  | [2026-01-30 18:27:30,537: WARNING/ForkPoolWorker-1]   > Progress: 40% (56816/142046)
scenic-api     | 172.18.0.1 - - [30/Jan/2026 18:27:32] "GET /api/task/1bca41ce-b63e-427e-a13a-77b4c9db730b HTTP/1.1" 200 -
